Momentum [GeV/c],e [GeV],pi [GeV],mu [GeV],K [GeV],p [GeV]
0.4,0.399489,0.284081,0.308061,0.14171,0.081706
1.0,0.999489,0.870123,0.899908,0.621544,0.432988
2.0,1.999489,1.865294,1.897131,1.566351,1.27088
3.0,2.999489,2.863675,2.896202,2.546671,2.205031
3.0,2.999489,2.863675,2.896202,2.546671,2.205031
4.0,3.999489,3.862864,3.895737,3.536672,3.170299
5.0,4.999489,4.862378,4.895458,4.530636,4.149002
6.0,5.999489,5.862053,5.895272,5.526598,5.134648
7.0,6.999489,6.861821,6.895139,6.52371,6.124331
8.0,7.999489,7.861647,7.89504,7.521541,7.116562
9.0,8.999489,8.861512,8.894962,8.519853,8.110504
10.0,9.999489,9.861404,9.8949,9.518501,9.105649
11.0,10.999489,10.861315,10.894849,10.517395,10.101672
12.0,11.999489,11.861242,11.894807,11.516474,11.098354
